"Submit_ID","Brand_Reg","Model_No","Country","screensize","Screen_Tech","Avg_mode_power","Availability Status","Star2","Screen_Size_Inches","Screen_Size_Category_Num"
152494,"TCL","75C745","China",189.306,"LCD (LED)",174.7,"Available",4,74.5297722,"75"
152532,"SAMSUNG ELECTRONICS","LH43BECHLGKXXY","Vietnam",107.987,"LCD (LED)",70,"Available",4,42.5144819,"45"
152532,"SAMSUNG ELECTRONICS","LH43BECHLGSXNZ","Vietnam",107.987,"LCD (LED)",70,"Available",4,42.5144819,"45"
152532,"SAMSUNG ELECTRONICS","LH43BECHLG****","Vietnam",107.987,"LCD (LED)",70,"Available",4,42.5144819,"45"
152543,"SAMSUNG ELECTRONICS","LH50BECHLGKXXY","Vietnam",125.727,"LCD (LED)",80,"Available",4.5,49.4987199,"50"
152543,"SAMSUNG ELECTRONICS","LH50BECHLGSXNZ","Vietnam",125.727,"LCD (LED)",80,"Available",4.5,49.4987199,"50"
152543,"SAMSUNG ELECTRONICS","LH50BECHLG****","Vietnam",125.727,"LCD (LED)",80,"Available",4.5,49.4987199,"50"
152544,"SAMSUNG ELECTRONICS","LH55BECHLGSXNZ","Vietnam",138.783,"LCD (LED)",81,"Available",5.5,54.63886709999999,"55"
152544,"SAMSUNG ELECTRONICS","LH55BECHLG****","Vietnam",138.783,"LCD (LED)",81,"Available",5.5,54.63886709999999,"55"
152544,"SAMSUNG ELECTRONICS","LH55BECHLGKXXY","Vietnam",138.783,"LCD (LED)",81,"Available",5.5,54.63886709999999,"55"
152545,"SAMSUNG ELECTRONICS","LH65BECHLGKXXY","Vietnam",163.897,"LCD (LED)",116,"Available",5,64.5262489,"65"
